name,uri,pflags
Grading_Policy,https://ds100.org/sp19/grading
Intro,http://www.textbook.ds100.org/intro.html,"{""prefix"": [""intro""]}"
To_the_Reader,https://www.textbook.ds100.org/preface.html,"{""prefix"": [""preface""]}"
Prerequisites,https://www.textbook.ds100.org/prereqs.html,"{""prefix"": [""prereqs""]}"
Notation,https://www.textbook.ds100.org/notation.html,"{""prefix"": [""notation""]}"
1__The_Data_Science_Lifecycle,https://www.textbook.ds100.org/ch/01/lifecycle_intro.html,"{""prefix"": [""lifecycle_intro""]}"
1_1__Asking_a_Question,https://www.textbook.ds100.org/ch/01/lifecycle_question.html,"{""prefix"": [""lifecycle_question""]}"
1_2__Obtaining_Data,https://www.textbook.ds100.org/ch/01/lifecycle_obtain.html,"{""prefix"": [""lifecycle_obtain""]}"
1_3__Understanding_the_Data,https://www.textbook.ds100.org/ch/01/lifecycle_data.html,"{""prefix"": [""lifecycle_data""]}"
1_4__Understanding_the_World,https://www.textbook.ds100.org/ch/01/lifecycle_world.html,"{""prefix"": [""lifecycle_world""]}"
1_5__A_Map_for_this_Book,https://www.textbook.ds100.org/ch/01/lifecycle_map.html,"{""prefix"": [""lifecycle_map""]}"
2__Questions_and_Data_Scope,https://www.textbook.ds100.org/ch/02/data_scope_intro.html,"{""prefix"": [""data_scope_intro""]}"
2_1__Big_Data_and_New_Opportunities,https://www.textbook.ds100.org/ch/02/data_scope_big_data_hubris.html,"{""prefix"": [""data_scope_big_data_hubris""]}"
"2_2__Target_Population,_Access_Frame,_Sample",https://www.textbook.ds100.org/ch/02/data_scope_construct.html,"{""prefix"": [""data_scope_construct""]}"
2_3__Instruments_and_Protocols,https://www.textbook.ds100.org/ch/02/data_scope_protocols.html,"{""prefix"": [""data_scope_protocols""]}"
2_4__Measuring_Natural_Phenomenon,https://www.textbook.ds100.org/ch/02/data_scope_natural.html,"{""prefix"": [""data_scope_natural""]}"
2_5__Accuracy,https://www.textbook.ds100.org/ch/02/data_scope_accuracy.html,"{""prefix"": [""data_scope_accuracy""]}"
